,PSNR,CS,CPL,SSIM,MSE,WD,KL,SSS1,TSI,VAE,Hist_correlation,Hist_intersection,VIF
PSNR,0.0,2.5102601051319147e-130,6.006233310817975e-146,1.0881098915516767e-232,2.2541253861806637e-70,1.46190066431733e-304,0.005893102099621001,5.332213765515875e-67,4.698757748601443e-71,7.303191043514202e-25,4.669877859704799e-32,1.2038260183290452e-20,3.526776738951847e-173
CS,2.5102601051319147e-130,0.0,1.4514220260325672e-231,9.209901112906597e-245,4.522910438371394e-07,7.882773833864028e-48,1.4153889003681675e-08,6.712636637614242e-130,1.1811802008118088e-119,0.0024375546698510685,3.1852122150933146e-12,0.2727034812242198,1.1838448483637569e-206
CPL,6.006233310817975e-146,1.4514220260325672e-231,0.0,5.962250713874347e-229,4.177725617232161e-12,2.366410154193829e-48,1.4847445506867835e-19,1.6361086939509969e-87,2.655055081336856e-88,1.1606946004045508e-10,7.776531380583394e-16,2.3018069237071754e-19,0.0
SSIM,1.0881098915516767e-232,9.209901112906597e-245,5.962250713874347e-229,0.0,1.3229421039350015e-44,2.1457682730370802e-136,0.005790613005246651,1.060616392248905e-120,1.1687012066059521e-207,1.365335557566448e-15,5.117833187151611e-23,0.12535801800230775,1.7546487759808803e-244
MSE,2.2541253861806637e-70,4.522910438371394e-07,4.177725617232161e-12,1.3229421039350015e-44,0.0,1.8613456675779368e-94,7.320495754330626e-38,0.0006766687690686398,7.866886211246638e-13,8.222264520264048e-74,1.7977775496810977e-19,2.583488328574436e-16,2.660419328106236e-09
WD,1.46190066431733e-304,7.882773833864028e-48,2.366410154193829e-48,2.1457682730370802e-136,1.8613456675779368e-94,0.0,0.17248806819071552,1.0328056713464212e-29,2.3185436158051378e-32,4.383101585810485e-39,2.8372433565398556e-73,1.5777797536260967e-43,9.277154233906755e-55
KL,0.005893102099621001,1.4153889003681675e-08,1.4847445506867835e-19,0.005790613005246651,7.320495754330626e-38,0.17248806819071552,0.0,2.625198840542208e-07,0.00021487893002360717,1.1177724227175944e-84,0.732211736157756,0.002568126606564691,8.629456076974972e-24
SSS1,5.332213765515875e-67,6.712636637614242e-130,1.6361086939509969e-87,1.060616392248905e-120,0.0006766687690686398,1.0328056713464212e-29,2.625198840542208e-07,0.0,3.808204803936319e-48,0.005236764461376368,5.704405358485476e-12,0.626781096603637,2.0301329857867832e-83
TSI,4.698757748601443e-71,1.1811802008118088e-119,2.655055081336856e-88,1.1687012066059521e-207,7.866886211246638e-13,2.3185436158051378e-32,0.00021487893002360717,3.808204803936319e-48,0.0,0.01962841524233086,7.039388763691536e-08,0.24677250145472246,2.610414824024106e-90
VAE,7.303191043514202e-25,0.0024375546698510685,1.1606946004045508e-10,1.365335557566448e-15,8.222264520264048e-74,4.383101585810485e-39,1.1177724227175944e-84,0.005236764461376368,0.01962841524233086,0.0,0.0010594869735099694,3.819170071554565e-11,7.863513056663577e-11
Hist_correlation,4.669877859704799e-32,3.1852122150933146e-12,7.776531380583394e-16,5.117833187151611e-23,1.7977775496810977e-19,2.8372433565398556e-73,0.732211736157756,5.704405358485476e-12,7.039388763691536e-08,0.0010594869735099694,0.0,6.2382509832047606e-226,1.477165376612973e-15
Hist_intersection,1.2038260183290452e-20,0.2727034812242198,2.3018069237071754e-19,0.12535801800230775,2.583488328574436e-16,1.5777797536260967e-43,0.002568126606564691,0.626781096603637,0.24677250145472246,3.819170071554565e-11,6.2382509832047606e-226,0.0,2.0166935558820008e-16
VIF,3.526776738951847e-173,1.1838448483637569e-206,0.0,1.7546487759808803e-244,2.660419328106236e-09,9.277154233906755e-55,8.629456076974972e-24,2.0301329857867832e-83,2.610414824024106e-90,7.863513056663577e-11,1.477165376612973e-15,2.0166935558820008e-16,0.0
