,PSNR,CPL,CS,SSIM,MSE,WD,KL,TSI,VAE,Hist_correlation,Hist_intersection,VIF
PSNR,1,-0.661162997,0.736407677,0.711432622,0.21507159,-0.878798454,-0.074346155,-0.398157155,-0.036488602,0.700413257,0.764530126,0.729913498
CPL,-0.661162997,1,-0.680560246,-0.489103485,-0.165301422,0.54905809,0.025043357,0.189312874,0.236845683,-0.387427343,-0.418473519,-0.636409586
CS,0.736407677,-0.680560246,1,0.777024119,0.083111848,-0.652782287,-0.082661426,-0.459951193,0.17602282,0.520053596,0.705351552,0.741178637
SSIM,0.711432622,-0.489103485,0.777024119,1,-0.072941792,-0.735044608,-0.252452224,-0.750874299,0.396179966,0.568258812,0.887919373,0.65717064
MSE,0.21507159,-0.165301422,0.083111848,-0.072941792,1,-0.343147974,0.479203032,0.383530348,-0.458258045,0.154571007,0.024169837,0.205131094
WD,-0.878798454,0.54905809,-0.652782287,-0.735044608,-0.343147974,1,0.053063221,0.365711808,0.001753796,-0.762437128,-0.82670446,-0.613555249
KL,-0.074346155,0.025043357,-0.082661426,-0.252452224,0.479203032,0.053063221,1,0.517429737,-0.39945085,-0.144125913,-0.250264304,0.091433751
TSI,-0.398157155,0.189312874,-0.459951193,-0.750874299,0.383530348,0.365711808,0.517429737,1,-0.596556202,-0.288534979,-0.659089681,-0.282152432
VAE,-0.036488602,0.236845683,0.17602282,0.396179966,-0.458258045,0.001753796,-0.39945085,-0.596556202,1,-0.000545302,0.335230343,-0.065512858
Hist_correlation,0.700413257,-0.387427343,0.520053596,0.568258812,0.154571007,-0.762437128,-0.144125913,-0.288534979,-0.000545302,1,0.776014098,0.406463198
Hist_intersection,0.764530126,-0.418473519,0.705351552,0.887919373,0.024169837,-0.82670446,-0.250264304,-0.659089681,0.335230343,0.776014098,1,0.525282243
VIF,0.729913498,-0.636409586,0.741178637,0.65717064,0.205131094,-0.613555249,0.091433751,-0.282152432,-0.065512858,0.406463198,0.525282243,1
