,accuracy,precision,recall,effort,threshold,F1-Score
47,87.43455497,83.33333333,17.85714286,0.75,0.042197253,0.294117647
55,86.91099476,100,16.66666667,0.75,0.041735009,0.285714286
52,86.38743455,66.66666667,20.68965517,0.75,0.041735009,0.315789474
57,86.38743455,0,0,0.75,0.04211453,0
58,86.38743455,87.5,21.875,0.75,0.04211453,0.35
25,85.86387435,88.88888889,13.1147541,0.5,0.041996885,0.228571429
33,85.86387435,70.58823529,19.67213115,0.5,0.042021669,0.307692308
36,85.86387435,63.63636364,12.28070175,0.5,0.041147173,0.205882353
38,85.86387435,75,15,0.5,0.041735009,0.25
46,85.86387435,NAN,0,0.75,0.042119511,0
50,85.86387435,85.71428571,18.75,0.75,0.042698619,0.307692308
51,85.86387435,75,10.34482759,0.75,0.04173919,0.181818182
34,85.60209424,81.81818182,14.51612903,0.5,0.042197253,0.246575342
29,85.34031414,44.44444444,14.81481481,0.5,0.036310386,0.222222222
23,85.07853403,58.33333333,11.86440678,0.5,0.041231373,0.197183099
28,85.07853403,81.81818182,14.0625,0.5,0.043081887,0.24
13,84.81675393,80,12.5,0.25,0.042191682,0.216216216
26,84.81675393,76.92307692,15.38461538,0.5,0.041996885,0.256410256
32,84.81675393,60,14.75409836,0.5,0.041246928,0.236842105
37,84.55497382,90.90909091,14.70588235,0.5,0.042841499,0.253164557
4,84.46771379,68.75,11.57894737,0.25,0.041904355,0.198198198
7,84.46771379,81.25,13.13131313,0.25,0.041735009,0.226086957
9,84.46771379,66.66666667,12.63157895,0.25,0.041452611,0.212389381
10,84.46771379,76.47058824,13.26530612,0.25,0.041996885,0.226086957
12,84.46771379,85.71428571,12.12121212,0.25,0.045206646,0.212389381
30,84.29319372,69.23076923,13.84615385,0.5,0.041225702,0.230769231
53,84.29319372,88.88888889,21.62162162,0.75,0.04211453,0.347826087
15,84.11867365,83.33333333,14.5631068,0.25,0.042626691,0.247933884
35,83.76963351,63.63636364,10.76923077,0.5,0.042119511,0.184210526
39,83.76963351,75,13.23529412,0.5,0.042018289,0.225
41,83.76963351,100,8.823529412,0.75,0.04211453,0.162162162
48,83.76963351,57.14285714,12.5,0.75,0.04211453,0.205128205
54,83.76963351,100,8.823529412,0.75,0.04211453,0.162162162
59,83.76963351,77.77777778,19.44444444,0.75,0.042119511,0.311111111
31,83.5078534,80,11.5942029,0.5,0.043081887,0.202531646
3,83.42059337,84.21052632,14.81481481,0.25,0.042922281,0.251968504
5,83.42059337,73.68421053,13.46153846,0.25,0.041226542,0.227642276
6,83.42059337,75,14.28571429,0.25,0.041567936,0.24
8,83.42059337,87.5,13.08411215,0.25,0.042965317,0.227642276
17,83.2460733,71.42857143,14.28571429,0.25,0.041391407,0.238095238
43,83.2460733,77.77777778,18.91891892,0.75,0.041735009,0.304347826
0,83.07155323,56.25,9.090909091,0.25,0.040942377,0.156521739
1,83.07155323,77.27272727,15.59633028,0.25,0.041760734,0.259541985
2,83.07155323,41.30434783,21.34831461,0.25,0.028713518,0.281481481
22,82.98429319,77.77777778,10,0.5,0.042119511,0.17721519
24,82.98429319,50,10.76923077,0.5,0.038327763,0.17721519
27,82.98429319,90,12.32876712,0.5,0.042858256,0.21686747
44,82.72251309,100,5.714285714,0.75,0.04211453,0.108108108
16,82.54799302,44.68085106,22.10526316,0.25,0.028571527,0.295774648
11,82.37347295,65,12.14953271,0.25,0.041008507,0.204724409
18,82.19895288,58.62068966,15.88785047,0.25,0.038528998,0.25
20,82.19895288,37.83783784,23.72881356,0.5,0.02867493,0.291666667
45,82.19895288,72.72727273,20.51282051,0.75,0.041735009,0.32
56,82.19895288,80,10.81081081,0.75,0.042212535,0.19047619
14,82.02443281,50,14.5631068,0.25,0.03725598,0.22556391
21,81.93717277,50,15.94202899,0.5,0.037843492,0.241758242
19,81.67539267,75,2.803738318,0.25,0.062440005,0.054054054
49,81.15183246,83.33333333,12.5,0.75,0.042119511,0.217391304
42,80.62827225,57.14285714,10.52631579,0.75,0.041147173,0.177777778
40,78.53403141,66.66666667,9.302325581,0.75,0.04211453,0.163265306
